"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"FA-01-01-00-00","Adopting a Child","This category is about the process and benefits of adopting a child, including dealing with a contested adoption or getting time off from work.","FA-01-00-00-00",,"NSMI v1 Taxonomy [1300100], NSMI v1 Taxonomy [1300199]"
"FA-01-02-00-00","Adopting an Adult","This category is about the process and consequences of adopting a person who is legally an adult.","FA-01-00-00-00",,
"FA-01-03-00-00","Contesting an Adoption","This category is about challenging the adoption of a child or an adult, including the process to do so, eligibility to do so, and possible outcomes.","FA-01-00-00-00",,"NSMI v1 Taxonomy [1300101]"
"FA-01-04-00-00","Birth Parents' Rights around an Adoption","About the rights that the biological mother and father of a child have, during the adoption process and after it is complete.","FA-01-00-00-00",,
"FA-01-05-00-00","Grandparents' and other Family Members' Rights around an Adoption","About the rights of grandparents, aunts, uncles, cousins, siblings, and other family members (aside from the birth parents), regarding a child being adopted -- both during the adoption process and after it is finalized.","FA-01-00-00-00",,"NSMI v1 Taxonomy [1310300]"
"FA-01-01-01-00","Uncontested Adoption of a Child","This category is about the process and outcomes of adopting a child, when there is no one contesting the adoption.","FA-01-01-00-00",,"NSMI v1 Taxonomy [1300102]"
"FA-01-01-02-00","Contested Adoption of a Child","This category is about the process and consequences of adopting a child, when someone is contesting the adoption.","FA-01-01-00-00",,"NSMI v1 Taxonomy [1300101]"
"WO-02-14-00-00","Taking Time off Work at Current Job","About taking time off from a current job because of illness, adoption, bereavement, religious reasons, military service, disability treatment, domestic violence, or other reasons","WO-02-00-00-00",,
"FA-01-01-03-00","Getting Time off Work for an Adoption","About taking a temporary leave from a current job, while going through an adoption process or after an adopted child has joined one's family.","FA-01-01-00-00, WO-02-14-00-00",,
"ES-03-01-00-00","Money and Property issues in a Guardianship or Conservatorship","This category is about accounting for funds spent (and possible financial exploitation) in a guardianship or conservatorship. It also covers issues when there is joint property ownership or other questions about the person's estate.","ES-03-00-00-00",,"NSMI v1 Taxonomy [1330500]"
"ES-03-01-01-00","Accountings for Funds Spent in a Guardianship or Conservatorship","This category is about the process and consequences of accounting how money is spent on a guardianship or conservatorship.","ES-03-01-00-00",,"NSMI v1 Taxonomy [1330100]"
"ES-03-01-02-00","Financial exploitation in a Guardianship or Conservatorship","This category is about how to deal with concerns around financial exploitation in a guardianship or conservatorship, the process of evaluating whether there is exploitation, and consequences if there is exploitation.","ES-03-01-00-00",,"NSMI v1 Taxonomy [1330500]"
"ES-03-02-00-00","Guardianship or Conservatorship of an Adult","This category is about the processes of getting, contesting, changing, or ending a guardianship or conservatorship of an adult person over the age of 18. This might be when the adult is disabled, has a severe mental illness, or is not able to make decisions about their finances, legal matters, or physical well-being.","ES-03-00-00-00",,"NSMI v1 Taxonomy [1330200], NSMI v1 Taxonomy [1330204], NSMI v1 Taxonomy [1330203], NSMI v1 Taxonomy [1330202], NSMI v1 Taxonomy [1330201]"
"ES-03-03-00-00","Guardianship of a child (under 18)","This category is about the process and consequences of getting a guardianship or conservatorship of a child (under age 18), contesting one, changing one, and ending one. This includes situations where the child has an estate that is contested or uncontested, where the child has no estate, where there is a temporary or standby situation, and where there is a Guardian ad Litem (in court representation).","ES-03-00-00-00",,"NSMI v1 Taxonomy [1440000], NSMI v1 Taxonomy [1440099], NSMI v1 Taxonomy [1440100], NSMI v1 Taxonomy [1440200], NSMI v1 Taxonomy [1440300], NSMI v1 Taxonomy [1440600], Legal Services Corporation Taxonomy [44]"
"ES-03-04-00-00","Rights of Guardians and Conservators","This category is about the rights that people have while serving as guardians or conservators to others (including to children and to adults). This includes distinctions between the rights that a guardian might have, versus that of someone who adopts another.","ES-03-00-00-00",,"NSMI v1 Taxonomy [1310301]"
"ES-03-05-00-00","Removal of a Guardian or Conservator","This category is about the process and consequences of removing a person from the role of guardian or conservator for another person (child or adult).","ES-03-00-00-00",,"NSMI v1 Taxonomy [1330800]"
"ES-03-02-01-00","Getting a Conservatorship or Guardianship of an Adult","This category is about the process and consequences of becoming a guardian or conservator of an adult (someone over the age of 18), to care for a person who is unable to care for themselves or manage their finances. This might be because the person is disabled or incapacitated.","ES-03-02-00-00",,"NSMI v1 Taxonomy [1330200]"
"ES-03-02-01-01","Getting an Emergency Guardianship of an Adult","This category is about applying for an emergency procedure to become the guardian of an adult. This may be because there has been an accident or injury that has made the adult mentally unable to care for themselves. The emergency guardianship would allow the guardian to care for the person's estate and person for a short period of time -- and then could possibly be extended.","ES-03-02-01-00",,
"IM-13-00-00-00","Migrant and seasonal worker employment","This category concerns issues that migrant and seasonal workers (often working in agriculture) face around employment. It includes situations in which people are working on farms or other agricultural settings, getting permission to work in the US, addressing issues around being undocumented, dealing with sexual violence at work, or seeking protection and employment rights.","IM-14-00-00-00",,
"ES-03-03-02-00","Getting a Guardianship of a Child","This category concerns the process of becoming appointed by the court to be a guardian for a minor child (under age 18). The person being appointed should ensure the minor is properly cared for in terms of health, upbringing and education -- and that significant assets are protected.  This includes situations where there is an estate or no estate, when the appointment is contested or uncontested, and temporary or standby appointments.","ES-03-03-00-00",,"Legal Server Index Taxonomy [LS002-00044], NSMI v1 Taxonomy [1440000], NSMI v1 Taxonomy [1440099]"
"BE-02-01-00-00","SNAP (Food Stamp) benefits","This category is about the Supplemental Nutrition Assistance Program (SNAP) benefits, that were formerly called 'food stamps'. This includes eligibility for SNAP benefits, applying for them, protecting them, dealing with a denial, transitional benefits, and telephone recertification.","BE-02-00-00-00",,"NSMI v1 Taxonomy [1730100], NSMI v1 Taxonomy [1730099], Legal Server Index Taxonomy [LS002-00073], Legal Services Corporation Taxonomy [73]"
"BE-02-02-00-00","Temporary Assistance for Needy Families benefits (TANF)","This category covers the Temporary Assistance for Needy Families (TANF) program, which provides time-limited assistance to families with children when the parents or guardians cannot provide for the family's basic needs. The category includes issues with applying for TANF benefits, eligibility requirements, getting emergency assistance, securing payments, dealing with time limits, and dealing with problems like termination, underpayment, due process, or otherwise.","BE-02-00-00-00",,"NSMI v1 Taxonomy [1710000], Legal Server Index Taxonomy [LS002-00071], NSMI v1 Taxonomy [1710099], Legal Services Corporation Taxonomy [71], Wikidata Taxonomy [Q17084964], Legal Services Corporation Taxonomy [71]"
"ED-02-01-00-00","School breakfast and lunch programs","This category covers the national programs to provide free or reduced-price breakfast and lunch to children attending schools. It covers the eligibility requirements, what benefits it entitles students to, how to apply, and dealing with any issues that come up.","ED-02-00-00-00, BE-02-00-00-00",,"NSMI v1 Taxonomy [1790199]"
"BE-02-03-00-00","General Assistance from a state or local government","This category covers general assistance programs, sometimes known as general relief benefits, that state and local governments provide to people. These programs often support low-income adults without minor children, who do not receive SSI. Not all state governments provide General Assistance. This category covers issues of eligibility for general assistance, how to apply for it, handling hearings for it, how to maintain or deal with issues that arise while on it, dealing with termination, and other issues.","BE-02-00-00-00",,"Legal Server Index Taxonomy [LS002-00078], NSMI v1 Taxonomy [1780100], NSMI v1 Taxonomy [1780000], NSMI v1 Taxonomy [1780099]"
"BE-02-04-00-00","Supplemental Food Program for Women, Infants and Children (WIC)","This category covers issues around the Women, Infants and Children (WIC) program. The WIC program provides nutritional and health care assistance to eligible low-income pregnant or breastfeeding women, infants, and children up to age five. This category covers eligibility for WIC, applying to it, dealing with rejections, accessing the food and services, and dealing with termination.","BE-02-00-00-00",,"NSMI v1 Taxonomy [1790110]"
"BE-02-05-00-00","State Funded Cash Assistance","This category covers benefit programs in which local states provide cash assistance to individuals or families. Not all states provide cash assistance. This category covers the availability of state funded cash assistance in a state, eligibility for it,  how to maintain it, dealing with rejections or suspensions of the benefit, and other issues that arise.","BE-02-00-00-00",,"NSMI v1 Taxonomy [1780200], Legal Services Corporation Taxonomy [78]"
"BE-01-03-00-00","Supplemental Security Income (SSI)","This category covers the benefit program Supplemental Security Income (SSI), which pays monthly benefits to people with limited income, who are disabled, blind, or age 65 or older. Blind or disabled children may also get SSI. This category covers issues with eligibility for SSI, applying for it, going through hearings about it, maintaining it, terminating it, and penalties around it. It covers both adults and children's issues with SSI.","BE-01-00-00-00, BE-07-00-00-00",,"Legal Server Index Taxonomy [LS002-00075], NSMI v1 Taxonomy [1750000], Legal Services Corporation Taxonomy [75]"
"BE-01-02-00-00","Social Security Disability Insurance (SSDI)","This category covers the benefit program Social Security Disability Insurance (SSDI), which pays cash to individuals who are disabled (and their family members), if a person has worked long enough and has paid Social Security taxes. This category covers issues with eligibility for SSDI, applications for it, hearings about it, getting paid, dealing with overpayments, maintaining it, and terminating it.","BE-01-00-00-00, HE-07-01-00-00",,"Legal Server Index Taxonomy [LS002-00074], NSMI v1 Taxonomy [1740000], Legal Services Corporation Taxonomy [74]"
"BE-07-00-00-00","Old Age Public Benefits","This category concerns public benefits available to people who are older, including programs like Supplemental Security Income, Social Security retirement benefits. Social Security Survivor benefits, and other benefits programs that can provide cash assistance, funeral and burial expenses, and other assistance.","BE-00-00-00-00",,
"BE-01-01-00-00","State and local benefits for the disabled","This category concerns state and local public benefits programs, that provide support for people with disabilities.","BE-01-00-00-00",,"NSMI v1 Taxonomy [1780300]"
"BE-07-01-00-00","Social Security retirement benefits","This category covers issues around Social Security retirement benefits, which can also be known as part of the Old Age, Survivors And Disability Insurance Program (OASDI). This program provides cash benefits for workers who have worked in 'covered employment' for a sufficient number of years when they are eligible to retire, beginning at age 62. This category covers issues with eligibility for Social Security retirement benefits, applications for it, hearings about it, getting paid, dealing with overpayments, maintaining it, and terminating it. It also covers issues around beneficiaries -- family members other than the worker.","BE-07-00-00-00, WO-04-00-00-00",,"Legal Server Index Taxonomy [LS002-00072], NSMI v1 Taxonomy [1720000], Legal Services Corporation Taxonomy [72]"
"BE-06-01-00-00","Disability benefits for veterans and military","This category covers disability benefits available to veterans and members of the military.","BE-01-00-00-00, BE-06-00-00-00",,"NSMI v1 Taxonomy [1770310]"
"HO-02-02-00-00","Eviction from subsidized or public housing","This category concerns issues around a tenant being evicted from a home, which is supported through public funds. This could be evictions from Section 8 or federally subsidized housing; public housing; non-federal housing programs; or Rural Economy Community Development (formerly Farmers Home ) subsidized housing.","HO-02-00-00-00, HO-03-00-00-00",,
"HO-02-02-02-00","Eviction from federally subsidized (Section 8) housing","This category concerns issues when a tenant is facing eviction from a home that is federally-subsidized or Section 8 housing. This includes the defenses that a tenant can raise, like problems with the notice or procedure; reasonable accommodation; or warrant of habitability defenses. It also concerns policies like the One-Strike policy that can lead to the eviction.","HO-02-02-00-00, HO-03-03-00-00",,"NSMI v1 Taxonomy [1610400], NSMI v1 Taxonomy [1610402]"
"HO-02-01-00-00","Eviction from a homeless shelter or group home","This category concerns issues a person might face when being evicted from a homeless shelter or group home, what defenses they might raise to stop the eviction, and other concerns.","HO-02-00-00-00, HO-13-00-00-00",,
"HO-02-03-00-00","Eviction from private rental housing (not public or subsidized)","This category concerns issues around eviction from a privately rented home, or other housing that is not federally subsidized, public housing, or supported through government programs. It concerns  the process that landlords can use to remove tenants from housing, how eviction cases proceed in courts, and defenses that tenants can raise.","HO-02-00-00-00",,"NSMI v1 Taxonomy [1630300], NSMI v1 Taxonomy [1630399]"
"HO-02-02-03-00","Eviction from public housing (with government landlord)","This category concerns issues when a tenant of a public housing unit -- with a government housing authority as the landlord -- faces eviction. It includes the defenses that the tenant can raise.","HO-02-02-00-00, HO-03-02-00-00",,"NSMI v1 Taxonomy [1640300], NSMI v1 Taxonomy [1640399]"
"HO-02-02-01-00","Eviction from a home subsidized by Rural Economic and Community Development","This category concerns issues for tenants when facing eviction from housing subsidized by Rural Economic and Community Development (formerly Farmers Home Administration or FMHA). It includes the defenses and protections tenants have.","HO-02-02-00-00, HO-03-04-00-00",,"NSMI v1 Taxonomy [1690910], NSMI v1 Taxonomy [1690919]"
"HO-02-03-02-00","Going to court for Eviction and Landlord-Tenant issues","This category covers how courts work when hearing an eviction (or unlawful detainer) lawsuit between a landlord and a tenant. This includes the rules, processes, options, and other procedural issues that people may need to understand to protect themselves during this kind of court proceeding.","CO-07-00-00-00, HO-02-00-00-00",,
"HO-02-05-00-00","Tenants' rights and options after an eviction","This category concerns what a tenant can do after they have been evicted from a home. This includes expunging an eviction judgment from one's record, masking an eviction, recovering money damages for an illegal eviction, appealing an eviction, or otherwise.","HO-02-00-00-00, HO-06-03-00-00",,
"HO-02-04-00-00","Defenses to stop or delay an eviction","This category concerns the legal defenses and other strategies that a tenant can use, to stop an eviction action or delay the removal from their home. This includes defenses that people in particular housing (subsidized, public, privately rented housing). It also includes the defenses and protections that particular groups (like veterans) might have.","HO-02-00-00-00, HO-02-03-02-00",,"NSMI v1 Taxonomy [1640320], NSMI v1 Taxonomy [1610429], NSMI v1 Taxonomy [1690911], NSMI v1 Taxonomy [1690913]"
"HO-02-04-04-00","Military service-members' protections around eviction","This category concerns the protections and defenses that a military service-member has, when they or their dependents are facing eviction from a home. The Servicemember's Civil Relief Act (SCRA) protects dependents from being evicted while a service member is serving their country.","HO-02-04-00-00, BE-06-00-00-00, VE-06-00-00-00",,"NSMI v1 Taxonomy [1770404]"
"HE-01-01-00-00","Mental Health","This category covers issues with mental health treatment, insurance coverage, rights, commitment procedures, community programs, guardianship, and other problems and rules.","HE-01-00-00-00",,"NSMI v1 Taxonomy [1820000], Legal Server Index Taxonomy [LS002-00082], NSMI v1 Taxonomy [1820099], Legal Services Corporation Taxonomy [82]"
"NA-10-00-00-00","Criminal Tribal Courts","This category concerns how criminal proceedings work in tribal court systems.","NA-00-00-00-00, CR-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00099], Legal Services Corporation Taxonomy [98]"
"ES-05-01-00-00","Advance Directives about possible medical treatments","This category concerns how to get an advance directive, maintain it, implement it, and deal with issues surrounding it. An advance directive is a document that spells out a person's wishes about medical treatment, so that others can carry these plans out if the person is unable to communicate them.","ES-05-00-00-00",,"NSMI v1 Taxonomy [1960100], Legal Server Index Taxonomy [LS002-00096], Legal Services Corporation Taxonomy [96]"
"ES-05-02-00-00","Living Wills for when a person is terminally ill","This category concerns how to get, maintain, implement, and deal with living wills, to determine how they will be treated if they are terminally ill. A living will is different than a last will and testament. It allows a person to approve or decline certain types of medical care, if one has a terminal injury or illness. It includes provisions about declining medical treatment, that might lead one to die as a result.","ES-05-00-00-00",,"NSMI v1 Taxonomy [1960200]"
"ES-05-03-00-00","Powers of Attorney","This category concerns how to get, maintain, implement, and deal with issues of Powers of Attorney. A power of attorney is typically a legal document that gives one person the power to act for another person, with authority to make legal decisions about property, finances, or medical care. It's usually used when a person is ill, disabled, or not present for a transaction. There are different types of power of attorney depending on the situation -- in which the designated person might have certain limits, durations, springing conditions, or otherwise.","ES-05-00-00-00",,"Legal Server Index Taxonomy [1960300]"
"CR-06-01-00-00","Expungement or Sealing of Criminal Record","This category concerns how to clean, expunge, seal, or mask a record of a past arrest or conviction. One might want to expunge a criminal record when looking for housing, employment, or other opportunities. There may be different options if one has a juvenile criminal record versus an adult one.","CR-06-00-00-00, WO-01-00-00-00, CR-02-00-00-00, CR-14-00-00-00",,"NSMI v1 Taxonomy [2041210], NSMI v1 Taxonomy [1290201], NSMI v1 Taxonomy [2041220], NSMI v1 Taxonomy [1290203], Legal Services Corporation Taxonomy [87], Legal Server Index Taxonomy [LS002-00087]"
"HO-02-06-00-00","Expungement or Masking of an Eviction Record","This category concerns how a person can have a record of an eviction lawsuit or order sealed, masked, or expunged. This may be useful when they want to apply for housing, benefits, employments, and other opportunities.","HO-02-00-00-00, HO-02-05-00-00",,"NSMI v1 Taxonomy [1630306]"
"CR-06-02-00-00","Pardons and Criminal Records","This category concerns issues around how a pardon (when a crime is officially forgiven and the offender is absolved of legal consequences) affects it has on one's criminal record.","CR-06-00-00-00, CR-02-01-00-00",,"NSMI v1 Taxonomy [1290202]"
"CR-02-01-00-00","Pardon for a crime","This category concerns the options and process of having a crime pardoned. A pardon (not an expungement, cleaning, or sealing) is when a government official forgives the commission of a crime and absolves the offender of the legal consequences.","CR-02-00-00-00",,"NSMI v1 Taxonomy [1830600], NSMI v1 Taxonomy [2042700]"
"MO-12-01-00-00","Debt Collection, Repossession, Garnishment","This category concerns issues around creditors and debt collectors trying to collect on outstanding loans or debts. This includes taking personal property, wages, liens against real property, freezes on a bank account, or other. This category concerns options, rights, strategies, and exemptions for debtors facing collection.","MO-12-00-00-00",,"Legal Server Index Taxonomy [LS002-00002], NSMI v1 Taxonomy [1020100], NSMI v1 Taxonomy [1020199], Legal Services Corporation Taxonomy [02]"
"MO-12-01-01-00","Dealing with Abusive Debt Collection and Harassment","This category concerns options and rights of people who are facing harassment or abuse by a creditor or debt collector.","MO-12-01-00-00",,"NSMI v1 Taxonomy [1020200], Legal Server Index Taxonomy [LS002-00400], Legal Services Corporation Taxonomy [04]"
"MO-12-01-02-00","Being a Collection-Proof Debtor","This category concerns who qualifies to be 'collection-proof', and what they can do to protect themselves. Being collection proof means that a person is protected against personal, family, or household debt -- even if a creditor still can sue them.","MO-12-01-00-00, MO-13-00-00-00",,"NSMI v1 Taxonomy [1020800]"
"MO-12-01-03-00","Debt Management Counseling","This category concerns counseling and guidance option for someone in debt, in order to deal with debt collection problems.","MO-12-01-00-00, MO-13-00-00-00",,"NSMI v1 Taxonomy [1020700]"
"MO-12-01-01-01","Fair Debt Collection Practices Act protections","This category concerns protections that a person might have from abusive debt collection practices, under the Fair Debt Collection Practices Act (FDCPA). This covers protections for credit card debt, auto loans, medical bills, student loans, mortgages, and household debts -- but not business debts. This limits the time and place that debt collectors can contact a person, or ways to stop contact.","MO-12-01-01-00",,"NSMI v1 Taxonomy [1020900]"
"MO-12-01-04-00","Deficiency Judgment issues","This category concerns how to deal with a Deficiency Judgment, to pay off the remaining money that a court says a person owes after a foreclosure or repossession. The court judgment will order the person to pay back any remaining money to the creditor.","MO-12-01-00-00",,"NSMI v1 Taxonomy [1020300]"
"MO-12-01-05-00","Frozen Bank Account issues","This category concerns options a person has if their bank account has been frozen because of a debt collection.","MO-12-01-00-00",,"NSMI v1 Taxonomy [1021000]"
"MO-12-01-06-00","Garnishment issues","This category concerns problems around one's wages (paycheck) or property being garnished to pay for a debt. This includes exemptions a person might have to protect certain things from being garnished.","MO-12-01-00-00",,"NSMI v1 Taxonomy [1020400], NSMI v1 Taxonomy [1020499]"
"MO-12-01-06-01","Exemptions from Garnishment","This category concerns how a person can protect their wages or property from a collector, including how to file for an exemption for wages.  Each state has different exemption laws that typically protect some of one's wages (for living costs), social security, disability, retirement, child support, or alimony payments.","MO-12-01-06-00",,"NSMI v1 Taxonomy [1020402]"
"MO-12-01-06-02","Wage Garnishment or Assignment issues","This category concerns when a creditor has an order to assign or garnish an employee's wages to pay money that is owed. Sometimes this is called 'earnings assignment' or 'earnings withholding'. Employers typically receiving the order to garnish the wages directly.","MO-12-01-06-00, CO-07-05-03-00",,"NSMI v1 Taxonomy [1020401]"
"MO-12-01-06-03","Non-Wage Garnishment issues","This category concerns issues when a creditor tries to take assets other than wages, through a levy or garnishment process. It includes how to claim an exemption to protect the asset.","MO-12-01-06-00",,"NSMI v1 Taxonomy [1020403]"
"MO-12-01-07-00","Liens on Property","This category concerns how to deal with a lien taken out against a piece of one's property -- including how to remove it, pay it off, settle it, dispute it, or get it corrected. A  A lien is a legal claim against a property, that lets a creditor take the property if one doesn't repay a debt. Liens can taken out on homes and cars, or as mechanic's/construction liens or tax liens. They can be taken by debt collectors after a judgment, by filing a lien against the debtors' property. ","MO-12-01-00-00",,"NSMI v1 Taxonomy [1020500]"
"H0-09-01-00-00","Liens on a Home","This category concerns liens taken out on one's home. When borrowing money to pay for a home, one can use a lien to have the property serve as collateral. If one fails to meet payments or other requirements, the lien allows the lender to foreclose on the home and take the property. This might include mortgage liens.","HO-09-00-00-00, MO-12-01-07-00, HO-09-05-00-00",,"NSMI v1 Taxonomy [1620800]"
"H0-09-02-00-00","Title to a home","This category concerns how to have a 'Title' to one's home, to show that one owns a home. This includes issues on how couples can arrange for multiple people to have 'title' to a home, how to change title to a home, or how to clear title one's home. This also includes issues around title when buying or selling a home, like needs to clear title to home, do title searches, get title insurance, and other issues.","HO-09-00-00-00, HO-04-00-00-00",,"NSMI v1 Taxonomy [1621100]"
"HO-09-02-01-00","Clearing Title to one's home","This category concerns how to prove one own's one's home, by getting a clear title to the property. A title may not be clear if title was not formally transferred after the owner dies, or during a sale of the property. This may be important after a natural disaster, when homeowners must be able to prove they own their home in order to access relief funds that would let them rebuild their home.","H0-09-02-00-00, HO-10-00-00-00",,
"HO-08-01-00-00","Defenses against a Foreclosure","This category concerns options a homeowner may have to defend against a foreclosure action. These defenses can include that the bank didn't follow state procedures; that the loan holder can't prove that they own the loan (they lack standing); that the mortgage servicer make a serious mistake; that the homeowner is a service-member on active duty; or that the statute of limitations has passed.","HO-08-00-00-00",,"NSMI v1 Taxonomy [1670300]"
"H0-08-01-01-00","Military Service-members' Protections against Foreclosure","This category concerns defenses and protections that a military service-member can use if they face a foreclosure on their home. This includes local state law, and the federal law, the Servicemembers Civil Relief Act (SCRA), which grants benefits and protections to service-members, depending on when they took out a mortgage loan. It can protect the homeowner from a default judgment, get them a delay, reduce interest rates, and other benefits.","HO-08-01-00-00, VE-06-00-00-00, BE-06-00-00-00",,
"M0-12-01-08-00","Military Service-members' protection against collection and repossession","This category concerns protections that a military service-member may have against debt collectors, and from their property from being repossessed  while they are in military service -- and possibly beyond the end-date of active duty. This includes for repossession of vehicles.","MO-12-01-00-00, VE-06-00-00-00",,"NSMI v1 Taxonomy [1770406]"
"FA-12-01-00-00","Acknowledging paternity","This category concerns how a person can acknowledge paternity of a child.","FA-12-00-00-00",,"NSMI v1 Taxonomy [1360102]"
"FA-12-02-00-00","Blood Tests to determine paternity","This category concerns how to use or respond to requests to take a blood tests to determine paternity of a child.","FA-12-00-00-00",,"NSMI v1 Taxonomy [1360101]"
"FA-12-03-00-00","Contested Paternity","This category concerns how to contest paternity or to respond when someone else is contesting paternity.","FA-12-00-00-00",,"NSMI v1 Taxonomy [1360103]"
"MO-12-01-08-00","Repossession of a car","This category concerns the repossession of an automobile, in which a lender or leasing company takes a vehicle back after the owner misses a payment.","MO-12-01-00-00, MO-12-01-07-00, TR-04-00-00-00",,"NSMI v1 Taxonomy [1020600]"
"TR-04-02-00-00","Issues with Purchasing and Financing a Car","This category concerns issues with purchasing a car, including getting financing, reviewing the contract, understanding the loan terms, and having your credit report assessed.","TR-04-00-00-00",,"NSMI v1 Taxonomy [1060800]"
"TR-04-04-00-00","Warranties and contracts for a car","This category concerns problems around 'vehicle warranties' for a car that one has purchased, which a person might have purchased to protect against unexpected or costly repairs or that might come with a manufacturer's warranty. It covers auto service contracts, warranty coverage, disputes around these warranties, how to make a claim, and state/federal lemon laws that relate to vehicle warranties.","TR-04-00-00-00, MO-03-03-00-00, MO-03-04-00-00",,"NSMI v1 Taxonomy [1030202]"
"MO-03-02-00-00","Corporate and Commercial Contracts","This category concerns contracts that are made between businesses or other entities (not personal/individual ones).","MO-03-00-00-00, BU-00-00-00-00",,"NSMI v1 Taxonomy [2344444], NSMI v1 Taxonomy [2051000]"
"MO-03-02-01-00","Arts & Entertainment Contracts","This category concerns contracts that are made in the arts and entertainment sector.","MO-03-02-00-00",,"NSMI v1 Taxonomy [2051730]"
"MO-03-03-00-00","Consumer Contract issues","This category concerns problems a consumer might have with a contract they have signed with a business or other entity.","MO-03-00-00-00",,"NSMI v1 Taxonomy [1030302], NSMI v1 Taxonomy [1030300], NSMI v1 Taxonomy [1030399]"
"TR-04-01-00-00","Car Payment Issues","This category concerns problems a person might have with meeting payments for their car or car insurance -- and what options they might have.","TR-04-00-00-00",,
"TR-04-03-00-00","Car Repair issues","This category concerns issues with having a car repaired, paying for it, refusing to pay, dealing with a mechanic's lien, and protection against unfair or deceptive trade practices for car repair estimates and use of rebuilt parts in the repairs.","TR-04-00-00-00",,"NSMI v1 Taxonomy [1030301]"
"TR-04-04-01-00","Contracts for Car Repairs","This category concerns problems a person might have when contracting for their car to be repaired.","TR-04-04-00-00",,"NSMI v1 Taxonomy [1030301]"
"MO-03-04-00-00","Warranty issues","This category concerns problems a consumer might have around a warranty for a product they have purchased. This may be a written warranty a company issues, spoken warranties from a salesperson, service contract warranties, or implied warranties created by state law. This category covers issues with understanding warranty offers, making claims around them, resolving disputes around warranties, or possible lawsuits around enforcing warranties.","MO-03-00-00-00",,"NSMI v1 Taxonomy [1030200], NSMI v1 Taxonomy [1030299]"
"MO-03-04-01-00","As-Is Warranty issues","This category concerns problems a consumer might face when buying a product -- like a car or other vehicle -- with an 'as-is' warranty. This includes the seller's obligation to notify the buyer of the 'as is' state, and the legal protections that buyers have after purchasing a thing 'as is', or the protective steps a consumer can take before purchasing the thing 'as is'. Some states have 'lemon laws' for cars purchased 'as is', that guarantee a certain warranty period or for certain problems.","MO-03-04-00-00",,"NSMI v1 Taxonomy [1030201]"
"MO-13-01-00-00","Chapter 7 Bankruptcy for people with limited income","This category concerns the process and consequences of filing for Chapter 7 Bankruptcy, which is an option for individuals whose income is below certain requirements. Chapter 7 bankruptcy liquidates general debts (from credit cards and medical bills) without the need to pay them back. It is typically only available to people with low-income or little/no assets.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010400]"
"MO-13-02-00-00","Chapter 13 Bankruptcy for people with regular income","This category concerns the process and issues of filing for a Chapter 13 'reorganization' bankruptcy for individuals, who have regular income and enough money left over each month to pay back some of their debts (as opposed to those eligible for Chapter 7 'liquidation' bankruptcy). Individuals and sole proprietor companies can apply for Chapter 13 bankruptcy if they meet eligibility requirements. It offers benefits but also requires a payment plan for the debts. It may be used by people who have non-dischargeable debts like for alimony or child support, or for people who have fallen behind on house or car payments and want to catch up on payments and keep the property. It can also be used for debt relief, to lower credit card payments, stop a lawsuit, or prevent wage garnishment.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010500]"
"MO-13-05-00-00","Discharge of Debts in Bankruptcy","This category concerns the options and process of a bankruptcy discharge, when a court orders relieves a person from their obligation to pay a debt. This typically occurs at the end of a Chapter 7 or Chapter 13 bankruptcy hearing. Once a discharge happens, the creditor is prohibited from trying to collect the debt -- though they still may enforce liens attached to secured debts. Not all debts can be discharged in the different kinds of bankruptcy.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010200]"
"MO-13-06-00-00","Exemptions to protect property during bankruptcy","This category concerns options a person might have to claim exemptions during a bankruptcy, which would protect certain property (like home, car, benefits, retirement, licenses, insurance, or tools of trade) from being sold by a trustee during the process. There are federal rules on bankruptcy exemptions, and some states have local exemption systems. This category concerns how to claim certain exemptions, deal with objections to them, and how this determines how much a person will have to pay to creditors.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010300]"
"MO-13-07-00-00","Automatic Stays on creditors during bankruptcy","This category concerns the process of how to get and deal with an automatic stay against most creditors, collection agencies, and government entities when filing for bankruptcy. An automatic stay is a temporary federal injunction, that stops collection efforts against the person. The automatic stay does not extinguish debts, but pauses efforts to collect them. This category concerns limits to the automatic stay, how long it lasts, what happens if creditors violate the order, or how a creditor might remove it.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010100]"
"MO-13-08-00-00","Exceptions to Debt Discharges during Bankruptcy","This category concerns the exceptions of which debts a person might not be able to discharge when filing for bankruptcy. The rules around exceptions will determine which debts a person must still have to pay back, even after going through a Chapter 7, 11, or 13 bankruptcy. This might be based on when the debts were incurred, what kinds of debts they are, or if the person used fraud or false pretenses when borrowing the money.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010101]"
"MO-13-09-00-00","Chapter 11 Bankruptcy for businesses","This category concerns the option and process of filing for Chapter 11 bankruptcy, which is typically used by larger businesses to reorganize themselves. Chapter 11 bankruptcies allow a company to stay active while repaying creditors and restructuring debts.","MO-13-00-00-00, BU-00-00-00-00",,"NSMI v1 Taxonomy [1010500]"
